date,lastSyncTime,steps,distance,runDistance,calories
2020-02-20,1583684166,12108,9267,274,338
2020-02-21,1583684188,18808,14193,218,505
2020-02-22,1583684168,16548,12489,367,445
2020-02-23,1583684144,15964,12757,4828,571
2020-02-24,1583684126,1835,1355,136,50
2020-02-25,1583684118,5854,4388,127,160
2020-02-26,1583684170,4701,3498,225,129
2020-02-27,1583684183,8991,7165,110,282
2020-02-28,1583684216,496,347,38,13
2020-03-08,1583778256,11114,9122,4765,446
2020-03-09,1583922225,9171,6977,536,260
2020-03-10,1583922225,12670,9473,306,333
2020-03-11,1584529822,7747,5894,369,228
2020-03-12,1584529825,13430,10368,299,370
2020-03-13,1584529827,9416,7056,282,261
2020-03-14,1584529828,16053,11397,165,378
2020-03-15,1584529824,14178,10329,298,352
2020-03-16,1584529829,16165,11921,302,410
2020-03-17,1584529823,13050,9665,227,337
2020-03-18,1584613532,4617,3748,1417,177
2020-03-19,1584713698,13084,10176,2776,440
2020-03-20,1584746761,5093,4719,4099,299
2020-03-21,1584885161,7714,6855,4637,387
2020-03-22,1585126860,3191,2709,1561,142
2020-03-23,1585126863,5639,4916,3344,274
2020-03-24,1585126866,8104,6845,3472,347
2020-03-25,1585216767,5645,4909,2411,246
2020-03-26,1585303132,5690,4686,1796,223
2020-03-27,1585403928,8310,6782,2537,317
2020-03-28,1585499374,10739,8457,2456,362
2020-03-29,1586160701,6367,5327,2467,264
2020-03-30,1586160718,7721,6451,2067,302
2020-03-31,1586160711,5729,4724,1810,221
2020-04-01,1586160713,9076,7244,1967,315
2020-04-02,1586160703,8360,6551,1657,277
2020-04-03,1586160736,9063,7247,2092,316
2020-04-04,1586160722,6692,5298,1741,239
2020-04-05,1586160707,2261,1670,146,67
2020-04-06,1587023253,9503,7545,1862,322
2020-04-07,1587023233,10822,8348,1835,345
2020-04-08,1587023248,8851,6747,1847,286
2020-04-09,1587023255,10387,7999,1928,336
2020-04-10,1587023251,8559,6613,1799,282
2020-04-11,1587023241,7226,5774,1828,259
2020-04-12,1587023237,8993,6767,1375,277
2020-04-13,1587023247,9037,7006,1869,298
2020-04-14,1587023243,7933,6349,1969,279
2020-04-15,1587023235,9444,7213,1809,305
2020-04-16,1588154407,9882,7642,1887,324
2020-04-17,1588154409,15048,11294,1675,439
2020-04-18,1588154397,12784,9535,1528,374
2020-04-19,1588154409,4933,3580,308,132
2020-04-20,1588154404,8097,6335,1669,273
2020-04-21,1588154407,9900,7834,1965,330
2020-04-22,1588154405,11772,9053,2090,375
2020-04-23,1588154406,11198,8619,2076,366
2020-04-24,1588154406,10168,7840,1982,329
2020-04-25,1588154401,15634,11420,1453,434
2020-04-26,1588154410,11341,8675,1696,351
2020-04-27,1588154397,14930,11657,2728,481
2020-04-28,1588154408,9272,7137,1851,308
2020-04-29,1588513291,5372,4465,1975,216
2020-04-30,1588513288,7620,5993,1777,263
2020-05-01,1588513265,10752,8525,1797,350
2020-05-02,1588513278,16678,12417,1795,474
2020-05-03,1588578812,12238,9461,2760,407
2020-05-04,1588631511,6482,5039,680,196
2020-05-05,1588838136,14690,11046,2041,433
2020-05-06,1588838133,10304,8139,1903,342
2020-05-07,1588922728,8815,7264,3222,354
2020-05-08,1588973987,16002,12414,1729,480
2020-05-09,1589095290,19167,14268,1993,540
2020-05-10,1589157003,11585,8468,556,300
2020-05-11,1589268432,6953,5180,70,179
2020-05-12,1589546538,13355,10482,2191,425
2020-05-13,1589546542,7402,5950,1997,264
2020-05-14,1589546545,10221,8018,1795,327
2020-05-15,1589650237,6211,5057,1880,233
2020-05-16,1589787781,13021,9975,1158,379
2020-05-17,1589787781,6138,4295,91,143
2020-05-18,1590398288,14200,11106,1916,433
2020-05-19,1590398282,11383,8972,1730,357
2020-05-20,1590398287,11105,8799,1715,354
2020-05-21,1590398286,11308,8878,1800,361
2020-05-22,1590398292,17762,13404,515,490
2020-05-23,1590398290,15901,12514,1793,488
2020-05-24,1590398291,6029,4482,306,165
2020-05-25,1590746899,8255,6553,1782,278
2020-05-26,1590746904,6847,5590,1745,244
2020-05-27,1590746906,9446,7519,1769,313
2020-05-28,1590746900,12825,10045,3093,422
2020-05-29,1591014774,8596,6736,1931,288
2020-05-30,1591014772,17257,13165,2258,513
2020-05-31,1591014771,20326,15202,1711,568
2020-06-01,1591308506,8534,6594,1907,290
2020-06-02,1591308503,3693,3118,1732,165
2020-06-03,1591308503,8121,6402,1762,279
2020-06-04,1591308499,10391,7387,145,254
2020-06-05,1591781347,3784,3198,1666,164
2020-06-06,1591781344,11492,8981,1916,362
2020-06-07,1591781349,6720,4920,304,180
2020-06-08,1591781351,10673,8535,1677,347
2020-06-09,1591781353,7973,6426,1813,281
2020-06-10,1592163915,5195,4372,1827,217
2020-06-11,1592163914,6108,4933,1796,225
2020-06-12,1592163915,18090,13772,1704,521
2020-06-13,1592163904,15751,12038,1856,472
2020-06-14,1592501437,13210,9781,221,343
2020-06-15,1592501430,6017,4880,1803,229
2020-06-16,1592501444,5335,4046,945,169
2020-06-17,1592501455,10574,8140,2179,323
2020-06-18,1593078194,4439,3637,1563,173
2020-06-19,1593078226,4899,4063,1749,196
2020-06-20,1593078190,7088,5206,320,194
2020-06-21,1593078197,20754,15672,2474,595
2020-06-22,1593078186,10981,8503,1777,346
2020-06-23,1593078172,4302,3386,1140,158
2020-06-24,1593901598,4510,3786,1711,188
2020-06-25,1593901603,8511,6766,1691,289
2020-06-26,1593901602,10333,8108,1877,341
2020-06-27,1593901600,5743,4380,99,157
2020-06-28,1593901599,10992,8317,167,286
2020-06-29,1593901603,4279,3547,1737,182
2020-06-30,1593901604,13394,10000,1665,387
2020-07-01,1593901601,8484,6697,1375,278
2020-07-02,1593901601,7341,5912,1682,249
2020-07-03,1593901599,5609,4518,1816,214
2020-07-04,1593901600,10099,7586,567,276
2020-07-05,1595013496,10575,7845,209,274
2020-07-06,1595013497,11023,8164,460,290
2020-07-07,1595013498,8313,6274,201,225
2020-07-08,1595013499,5458,3887,253,139
2020-07-09,1595013495,13809,10378,333,362
2020-07-10,1595013498,11229,8416,744,300
2020-07-11,1595013498,11569,8711,178,307
2020-07-12,1595013498,7191,5304,290,192
2020-07-13,1595013495,9854,7486,1663,306
2020-07-14,1595013496,8704,6442,319,229
2020-07-15,1595013496,8682,6443,240,226
2020-07-16,1595013494,5066,3647,283,133
2020-07-17,1599428261,11482,8855,1735,355
2020-07-18,1599428255,12694,9257,213,318
2020-07-19,1599428260,13046,9318,275,325
